ticker,sentiment,lastSentiment,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
INDO,8.991203414434024,10.892435175087844,182,Indonesia Energy Corporation Limited,37.36,-2.57,-0.06436,0,305353255,7748678,33.65
ORGN,9.0185648148148,17.252380952380953,183,"Origin Materials, Inc.",6.35,0.23999977,0.039279829999999995,1398977,897267712,2284168,6.11
SPWR,9.026747311827954,11.784621212121206,184,SunPower Corporation,20.89,0.01999855,0.0009582438,3777594,3616392488,6060945,20.87
FCX,9.034703389830522,22.44159982174687,185,Freeport-McMoRan Inc.,47.71,0.7199974,0.015322354,16543447,69407555584,23418117,46.99
SNAP,9.064604377104368,14.365434782608698,186,Snap Inc.,31.74,-1.9400005,-0.057600965000000004,20606874,47292177477,26986366,33.68
MULN,9.08431781460397,10.229373245204743,187,Mullen Automotive Inc,1.07,-0.07999992,-0.069565153,81211532,37038842,110649332,1.15
F,9.165130636325337,13.496946897228357,188,Ford Motor Company,16.33,-0.04000092,-0.00244355,71913979,65389404160,62846720,16.37
PSFE,9.177395833333325,5.631513409961686,189,Paysafe Limited,3.23,0.1500001,0.04870133,8732955,473851804,9407789,3.08
XLE,9.18500555555557,8.368056335343454,190,Energy Select Sector SPDR Fund,77.47,2.300003,0.030597352999999997,68717110,14442267648,87018243,75.17
CSIQ,9.227941176470589,11.220833333333324,191,Canadian Solar Inc.,34.92,-2.1200027,-0.057235494,1542085,2095116032,1851242,37.04
Z,9.232709750566892,13.074543946931993,192,"Zillow Group, Inc.",49.86,-1.1800003,-0.023119128,2529947,12119363706,3540664,51.04
MARA,9.27281084656084,8.890671326634635,193,"Marathon Digital Holdings, Inc.",24.75,-0.9300003,-0.036214967,9376086,2536002793,15227990,25.68
NRXP,9.290277777777778,5.616319444444451,194,"NRx Pharmaceuticals, Inc.",3.04,-0.26,-0.07878788,629064,178489376,2578696,3.3
AQB,9.302753623188398,10.436666666666671,195,"AquaBounty Technologies, Inc.",1.93,0.53,0.37857143,8421508,134238645,800149,1.4
STM,9.39714285714286,4.989583333333325,196,STMicroelectronics N.V.,38.82,-0.9599991,-0.024132707,3754796,35912577024,6726116,39.78
PTON,9.41151305683563,15.171183206106864,197,"Peloton Interactive, Inc.",22.61,-0.8299999,-0.03540955,8629180,6850742590,7501141,23.44
LI,9.41157856414736,15.007595111700955,198,Li Auto Inc.,25.99,-1.6399994,-0.05935575,10703496,23328507565,13420135,27.63
TSLA,9.435433610694922,9.687948768313447,199,"Tesla, Inc.",838.3,-20.669983,-0.024063685,19549548,866391425024,19727993,858.97
CLOV,9.45181533646322,11.142510747354507,200,"Clover Health Investments, Corp.",3.12,-0.02000022,-0.006369496,13265584,1374868186,25952465,3.14
