ticker,posts,lastPosts,likes,lastLikes,impressions,lastImpressions,rank,retweets,lastRetweets,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
EL,50,100,794,1752,256110,662136,165,316,831,The Estée Lauder Companies Inc.,280.31,10.47,0.0388,118255,101362060412,2624710,269.84
AB,11,9,794,41,1214,55799,166,122,6,AllianceBernstein Holding L.P.,44.21,1.4,0.0327,65755,4388803051,557106,42.81
AABB,165,128,792,453,333393,806166,167,333,265,Asia Broadband Inc,0.086,0,0,0,205879243,16506683,0.086
BMBL,160,0,778,0,3493631,0,168,103,0,Bumble Inc.,23.39,6.73,0.40396,14551828,3022960556,11772936,16.66
BNGO,98,103,775,363,296421,156327,169,492,53,"Bionano Genomics, Inc.",1.87,0.1,0.0565,1236370,541576215,8951599,1.77
XOP,116,137,759,1468,632886,1094756,170,119,184,SPDR S&P Oil & Gas Exploration & Production ETF,123.975,-2.975,-0.02343,2866106,5076776250,18214849,126.95
BFRI,55,82,751,2031,80092,95929,171,108,358,Biofrontera Inc.,2.43,0.18,0.08,212887,41564540,819364,2.25
TNXP,110,80,746,532,909336,479998,172,174,186,Tonix Pharmaceuticals Holding Corp.,0.2195,-0.006,-0.02661,8397296,108925901,54927608,0.2255
VTNR,208,133,713,735,1671302,804116,173,81,239,"Vertex Energy, Inc.",7.87,0.21,0.02742,975033,498076285,14790308,7.66
ABUS,20,41,710,92,28825,222537,174,65,14,Arbutus Biopharma Corporation,3.01,0.13,0.04514,268654,447411625,3226047,2.88
W,53,94,699,195,544799,924957,175,85,39,Wayfair Inc.,129.75,-0.47,-0.00361,219493,10301623734,1984375,130.22
GEVO,580,189,691,203,1940787,552343,176,213,50,"Gevo, Inc.",4.175,-0.355,-0.07837,3923037,843302664,27311515,4.53
MRO,129,157,680,205,976119,892058,177,213,69,Marathon Oil Corporation,23.27,-0.82,-0.03404,6477371,17004905343,42319371,24.09
ISIG,44,36,679,143,135854,122580,178,68,28,"Insignia Systems, Inc.",7.03,0.33,0.04925,21007,12429841,36158,6.7
WOLF,78,115,662,4256,71623,130245,179,2687,2782,"Wolfspeed, Inc.",96.94,3.6,0.03857,124663,11979368740,3206844,93.34
SPWR,261,86,653,2692,2330948,350641,180,108,370,SunPower Corporation,20.55,-0.11,-0.00532,1573712,3557533060,16496960,20.66
METX,91,40,647,120,328565,47940,181,129,23,Meten Holding Group Ltd.,0.1799,0.0109,0.0645,5027979,55374931,15991464,0.169
XELA,90,180,645,472,119519,1666622,182,92,154,"Exela Technologies, Inc.",0.688,0.0629,0.10062,5020681,239935822,20128774,0.6251
ACM,32,42,638,204,162797,218429,183,86,5,AECOM,73.565,1.005,0.01385,62387,10397881390,1556659,72.56
SPCE,149,257,632,944,357126,805260,184,99,363,"Virgin Galactic Holdings, Inc.",7.83,0.41,0.05526,2272873,2022406417,17984671,7.42
SBFM,157,0,627,0,2009935,0,185,115,0,Sunshine Biopharma Inc,3.89,2.37,1.55921,19644365,2015985105,92552,1.52
LI,114,72,593,543,1217768,597351,186,129,67,Li Auto Inc.,26.71,2.47,0.1019,3197458,23974776339,12101406,24.24
L,28,64,590,59,221471,41815,187,72,31,Loews Corporation,61.46,1.4,0.02331,55338,15254522147,1118843,60.06
RUSL,16,38,587,2952,54414,495998,188,109,714,Direxion Daily Russia Bull 2X Shares,11.35,2.65,0.3046,0,58446609,17914502,8.7
DATS,55,78,556,106,177637,96598,189,74,34,"DatChat, Inc.",1.57,0.04,0.02614,134014,30767948,749042,1.53
FSR,150,134,555,729,499289,199363,190,169,204,Fisker Inc.,11.23,0.34,0.03122,1534661,1846644153,8527852,10.89
CSU.TO,14,6,548,170,31974,51095,191,55,8,Constellation Software Inc.,2125.14,72.14,0.03514,1695,45034968064,16813,2053
NUE,41,49,536,453,184463,168408,192,111,77,Nucor Corporation,128.04,2.08,0.01651,324962,34458747459,3593490,125.96
EVGO,99,67,530,532,494686,304435,193,122,113,"EVgo, Inc.",11.94,0.2,0.01704,1685048,820717034,4774104,11.74
LIFE,22,30,517,1355,39023,36898,194,210,564,"aTyr Pharma, Inc.",4.97,0.1,0.02053,6564,138145096,63573,4.87
WKHS,175,117,511,637,585734,626576,195,197,236,Workhorse Group Inc.,3.855,0.025,0.00653,912600,601326450,7313285,3.83
