ticker,posts,lastPosts,postsChange,likes,lastLikes,impressions,lastImpressions,rank,retweets,lastRetweets,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
AEM.TO,2,1,100,19,26,13523,13469,75,0,0,Agnico Eagle Mines Limited,76.99,-1.63,-0.02073,389326,35013073665,934839,78.62
APVO,2,1,100,0,0,39972,25423,76,0,0,Aptevo Therapeutics Inc.,5.01,0.15,0.03086,2234,24539150,152419,4.86
NAD,2,0,100,0,0,86836,0,77,0,0,Nuveen Quality Municipal Income Fund,13.9866,0.02659988,0.0019054357999999999,42602,3264542208,2488148,13.96
BITF,88,45,95.55555555555554,7534,7209,475663,112791,78,1408,1378,Bitfarms Ltd.,3.64,0.3,0.08982,1466040,725083243,5648551,3.34
AAP,21,11,90.90909090909092,118,16,64134,18367,79,21,3,"Advance Auto Parts, Inc.",204.14,3.56,0.01775,36936,12472459777,963175,200.58
HITI,104,55,89.0909090909091,1553,732,670088,612861,80,405,267,High Tide Inc.,4.26,0.17,0.04156,19401,258191085,169847,4.09
AAPL,2894,1543,87.55670771224887,49933,34707,33832305,9864929,81,7397,3692,Apple Inc.,160.515,3.075,0.01953,14877509,2619515072115,131148280,157.44
ATER,184,102,80.3921568627451,4709,1500,1479726,559122,82,815,212,"Aterian, Inc.",2.565,0.155,0.06432,894348,137301262,3482140,2.41
AQB,9,5,80,8,0,17141,7890,83,1,0,"AquaBounty Technologies, Inc.",1.395,0.055,0.04104,93332,99080905,1908329,1.34
THMO,9,5,80,19,0,63584,53075,84,2,0,"ThermoGenesis Holdings, Inc.",0.56,0,0,6093,6670599,171043,0.56
SEV,16,9,77.77777777777777,201,14,57537,31188,85,30,6,Sono Group N.V.,4.58,0.06,0.01327,85236,316395116,860124,4.52
BLI,32,18,77.77777777777777,1840,176,59654,82812,86,528,102,"Berkeley Lights, Inc.",6.29,0.36,0.06071,121798,425525979,1706863,5.93
DIDI,71,40,77.49999999999999,124,8,534475,336183,87,34,0,DiDi Global Inc.,3.505,-0.045,-0.01268,6449232,15260412953,27864119,3.55
SI,54,31,74.19354838709677,164,283,345872,114579,88,38,32,Silvergate Capital Corporation,122.78,16.05,0.15038,251181,3882855742,790181,106.73
PIK,12,7,71.42857142857142,127,8,28828,21012,89,13,0,Kidpik Corp.,1.7,0,0,59338,12950318,172151,1.7
KEY,680,399,70.42606516290726,203971,4569,450849,4285027,90,221929,2587,KeyCorp,23.26,0.86,0.03839,808913,21579721581,12318945,22.4
NKLA,260,156,66.66666666666667,1483,1136,2224705,1465983,91,453,436,Nikola Corporation,7.72,0.17,0.02252,2668859,3121795728,22609273,7.55
